"gbifID";"identifier";"license";"Species";"BasisOfRecord";"Preparation";"rightHolder"
1920847689;"https://static.inaturalist.org/photos/2352476/original.jpg?1444553655";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_clarkii";"HumanObservation";"";"Zack"
1920833659;"https://static.inaturalist.org/photos/26383857/original.jpeg?1539153647";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383858/original.jpeg?1539153647";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383859/original.jpeg?1539153649";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383864/original.jpeg?1539153661";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383870/original.jpeg?1539153677";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383874/original.jpeg?1539153681";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383878/original.jpeg?1539153688";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383879/original.jpeg?1539153692";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383881/original.jpeg?1539153700";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383883/original.jpeg?1539153703";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383884/original.jpeg?1539153703";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833659;"https://static.inaturalist.org/photos/26383887/original.jpeg?1539153709";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920833271;"https://static.inaturalist.org/photos/26381913/original.jpeg?1539148187";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_perideraion";"HumanObservation";"";"Tony Strazzari"
1920833244;"https://static.inaturalist.org/photos/26381567/original.jpeg?1539147426";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_perideraion";"HumanObservation";"";"Tony Strazzari"
1920831660;"https://static.inaturalist.org/photos/26372573/original.jpeg?1539132682";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_perideraion";"HumanObservation";"";"Tony Strazzari"
1920828382;"https://static.inaturalist.org/photos/26343226/original.jpeg?1539097225";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920828382;"https://static.inaturalist.org/photos/26343242/original.jpeg?1539097242";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920828382;"https://static.inaturalist.org/photos/26343249/original.jpeg?1539097244";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_melanopus";"HumanObservation";"";"Tony Strazzari"
1920828347;"https://static.inaturalist.org/photos/26343206/original.jpg?1539097206";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828347;"https://static.inaturalist.org/photos/26343219/original.jpeg?1539097219";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828347;"https://static.inaturalist.org/photos/26343227/original.jpeg?1539097224";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828347;"https://static.inaturalist.org/photos/26343231/original.jpg?1539097233";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828256;"https://static.inaturalist.org/photos/26342006/original.jpeg?1539095766";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828256;"https://static.inaturalist.org/photos/26342011/original.jpeg?1539095772";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828256;"https://static.inaturalist.org/photos/26342014/original.jpeg?1539095775";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828256;"https://static.inaturalist.org/photos/26342016/original.jpeg?1539095776";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828256;"https://static.inaturalist.org/photos/26342024/original.jpeg?1539095782";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828256;"https://static.inaturalist.org/photos/26342028/original.jpeg?1539095787";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_chrysopterus";"HumanObservation";"";"Tony Strazzari"
1920828215;"https://static.inaturalist.org/photos/26341880/original.jpeg?1539095608";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920828215;"https://static.inaturalist.org/photos/26341882/original.jpeg?1539095613";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920828215;"https://static.inaturalist.org/photos/26341884/original.jpeg?1539095615";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920827902;"https://static.inaturalist.org/photos/26338980/original.jpeg?1539091751";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_clarkii";"HumanObservation";"";"Tony Strazzari"
1920827902;"https://static.inaturalist.org/photos/26338981/original.jpeg?1539091752";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_clarkii";"HumanObservation";"";"Tony Strazzari"
1920827830;"https://static.inaturalist.org/photos/26338944/original.jpeg?1539091712";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920827830;"https://static.inaturalist.org/photos/26338948/original.jpeg?1539091712";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920827830;"https://static.inaturalist.org/photos/26338949/original.jpeg?1539091716";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920827830;"https://static.inaturalist.org/photos/26338952/original.jpeg?1539091719";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920827830;"https://static.inaturalist.org/photos/26338953/original.jpeg?1539091722";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920827830;"https://static.inaturalist.org/photos/26338960/original.jpeg?1539091728";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920827830;"https://static.inaturalist.org/photos/26338963/original.jpeg?1539091731";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_percula";"HumanObservation";"";"Tony Strazzari"
1920810104;"https://static.inaturalist.org/photos/26200491/original.jpeg?1538884776";"http://creativecommons.org/licenses/by-nc/4.0/";"Amphiprion_clarkii";"HumanObservation";"";"Tony Strazzari"
