gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1920847689																										1924033										CC_BY_NC_4_0			2018-10-10T13:11:32Z			https://www.inaturalist.org/observations/1924033				© Zack some rights reserved	Zack												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://www.inaturalist.org/observations/1924033	1924033		Zack																Amphiprion clarkii Clark's anemonefish クマノミ Entacmaea quadricolor Bubble-tip anemone ウスカワイソギンチャク Oshima, Tokyo 東京都大島町												2015-08-28T14:41:13Z	05:41:13Z			2015	8	28	2015-08-28 14:41:13															JP	Shizuoka				Oshima, Tokyo							34.726341	139.349399	436.0																																3658901				2015-09-07T10:15:09Z				136345								Amphiprion clarkii (Bennett, 1830)								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		clarkii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:47.094Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	true	false	5212081	5212081	1	44	204	587	4499	2357171		5212081	Amphiprion clarkii	Amphiprion	Amphiprion clarkii (Bennett, 1830)		DWC_ARCHIVE	2018-10-15T15:05:22.899Z	2018-10-15T15:05:22.829Z	false
1920833659																										17371675										CC_BY_NC_4_0			2018-10-11T02:50:45Z			https://www.inaturalist.org/observations/17371675				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17371675	17371675		Tony Strazzari																Sankisan Maru												2013-04-16T15:47:00Z	05:47:00Z			2013	4	16	2013/04/16 3:47 PM AEST															FM	Chuuk				Chuuk Lagoon, Federated States of Micronesia							7.298343	151.866472	375.0																																37213537				2018-10-10T06:56:05Z				57741								Amphiprion melanopus Bleeker, 1852								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		melanopus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:23.832Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212069	5212069	1	44	204	587	4499	2357171		5212069	Amphiprion melanopus	Amphiprion	Amphiprion melanopus Bleeker, 1852		DWC_ARCHIVE	2018-10-15T15:04:43.648Z	2018-10-15T15:04:43.633Z	false
1920833271																										17370655										CC_BY_NC_4_0			2018-10-10T12:39:49Z			https://www.inaturalist.org/observations/17370655				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17370655	17370655		Tony Strazzari																Hoki Maru												2013-04-15T10:20:00Z	00:20:00Z			2013	4	15	2013/04/15 10:20 AM AEST															FM	Chuuk				Chuuk Lagoon, Federated States of Micronesia							7.361423	151.908358	785.0																																37210823				2018-10-10T05:20:42Z				134156								Amphiprion perideraion Bleeker, 1855								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		perideraion		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:23.367Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212059	5212059	1	44	204	587	4499	2357171		5212059	Amphiprion perideraion	Amphiprion	Amphiprion perideraion Bleeker, 1855		DWC_ARCHIVE	2018-10-15T15:04:43.432Z	2018-10-15T15:04:43.406Z	false
1920833244																										17370437										CC_BY_NC_4_0			2018-10-10T18:38:38Z			https://www.inaturalist.org/observations/17370437				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17370437	17370437		Tony Strazzari																Fujikawa Maru												2013-04-14T18:43:00Z	08:43:00Z			2013	4	14	2013/04/14 6:43 PM AEST															FM	Chuuk				Chuuk Lagoon, Federated States of Micronesia							7.346783	151.897714	785.0																																37210230				2018-10-10T05:06:02Z				134156								Amphiprion perideraion Bleeker, 1855								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		perideraion		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:23.199Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212059	5212059	1	44	204	587	4499	2357171		5212059	Amphiprion perideraion	Amphiprion	Amphiprion perideraion Bleeker, 1855		DWC_ARCHIVE	2018-10-15T15:04:43.414Z	2018-10-15T15:04:43.383Z	false
1920831660																										17365417										CC_BY_NC_4_0			2018-10-10T03:27:37Z			https://www.inaturalist.org/observations/17365417				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17365417	17365417		Tony Strazzari																Shinkoku Maru In anemone at bottom of photo												2013-04-13T09:36:00Z	23:36:00Z			2013	4	13	2013/04/13 9:36 AM AEST															FM	Chuuk				Chuuk Lagoon, Federated States of Micronesia							7.418623	151.765192	1164.0																																37198404				2018-10-10T01:05:51Z				134156								Amphiprion perideraion Bleeker, 1855								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		perideraion		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:20.914Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212059	5212059	1	44	204	587	4499	2357171		5212059	Amphiprion perideraion	Amphiprion	Amphiprion perideraion Bleeker, 1855		DWC_ARCHIVE	2018-10-15T15:04:42.144Z	2018-10-15T15:04:42.095Z	false
1920828382																										17349675										CC_BY_NC_4_0			2018-10-10T20:33:02Z			https://www.inaturalist.org/observations/17349675				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17349675	17349675		Tony Strazzari																												2013-05-07T09:00:00Z	23:00:00Z			2013	5	7	2013/05/07 9:00 AM															PG	New Ireland				Kavieng, Papua New Guinea							-2.552822	150.778482	557.0																																37206811				2018-10-10T03:54:15Z				57741								Amphiprion melanopus Bleeker, 1852								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		melanopus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:14.575Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212069	5212069	1	44	204	587	4499	2357171		5212069	Amphiprion melanopus	Amphiprion	Amphiprion melanopus Bleeker, 1852		DWC_ARCHIVE	2018-10-15T15:04:39.747Z	2018-10-15T15:04:39.664Z	false
1920828347																										17349676										CC_BY_NC_4_0			2018-10-10T01:50:07Z			https://www.inaturalist.org/observations/17349676				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17349676	17349676		Tony Strazzari																												2013-05-07T09:00:00Z	23:00:00Z			2013	5	7	2013/05/07 9:00 AM															PG	New Ireland				Kavieng, Papua New Guinea							-2.552822	150.778482	557.0																																37164939				2018-10-09T15:07:11Z				180381								Amphiprion chrysopterus Cuvier, 1830								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		chrysopterus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:14.489Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212076	5212076	1	44	204	587	4499	2357171		5212076	Amphiprion chrysopterus	Amphiprion	Amphiprion chrysopterus Cuvier, 1830		DWC_ARCHIVE	2018-10-15T15:04:39.672Z	2018-10-15T15:04:39.646Z	false
1920828256																										17349328										CC_BY_NC_4_0			2018-10-10T20:33:04Z			https://www.inaturalist.org/observations/17349328				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17349328	17349328		Tony Strazzari																												2013-05-07T11:00:00Z	01:00:00Z			2013	5	7	2013/05/07 11:00 AM															PG	New Ireland				Kavieng, Papua New Guinea							-2.565684	150.780542	290.0																																37206793				2018-10-10T03:53:53Z				180381								Amphiprion chrysopterus Cuvier, 1830								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		chrysopterus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:14.313Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212076	5212076	1	44	204	587	4499	2357171		5212076	Amphiprion chrysopterus	Amphiprion	Amphiprion chrysopterus Cuvier, 1830		DWC_ARCHIVE	2018-10-15T15:04:39.538Z	2018-10-15T15:04:39.514Z	false
1920828215																										17349316										CC_BY_NC_4_0			2018-10-10T20:33:06Z			https://www.inaturalist.org/observations/17349316				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17349316	17349316		Tony Strazzari																												2013-05-07T11:00:00Z	01:00:00Z			2013	5	7	2013/05/07 11:00 AM															PG	New Ireland				Kavieng, Papua New Guinea							-2.565684	150.780542	290.0																																37165100				2018-10-09T15:09:26Z				119391								Amphiprion percula (Lacepède, 1802)								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		percula		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:14.395Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212094	5212094	1	44	204	587	4499	2357171		5212094	Amphiprion percula	Amphiprion	Amphiprion percula (Lacepède, 1802)		DWC_ARCHIVE	2018-10-15T15:04:39.528Z	2018-10-15T15:04:39.491Z	false
1920827902																										17347625										CC_BY_NC_4_0			2018-10-10T01:52:23Z			https://www.inaturalist.org/observations/17347625				© Tony Strazzari some rights reserved	Tony Strazzari												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/17347625	17347625		Tony Strazzari																												2013-05-08T07:17:00Z	21:17:00Z			2013	5	8	2013/05/08 7:17 AM AEST															PG	New Ireland				Kavieng, Papua New Guinea							-2.585834	150.787151	300.0																																37159739				2018-10-09T13:38:14Z				136345								Amphiprion clarkii (Bennett, 1830)								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion		clarkii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2018-10-15T15:05:13.781Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	5212081	5212081	1	44	204	587	4499	2357171		5212081	Amphiprion clarkii	Amphiprion	Amphiprion clarkii (Bennett, 1830)		DWC_ARCHIVE	2018-10-15T15:04:39.339Z	2018-10-15T15:04:39.276Z	false
