gbifID;acceptedScientificName;scientificName;basisOfRecord;preparations;datasetName;rightsHolder;license
1920847689;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Zack;http://creativecommons.org/licenses/by-nc/4.0/
1920833659;Amphiprion melanopus Bleeker, 1852;Amphiprion melanopus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920833271;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920833244;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920831660;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920828382;Amphiprion melanopus Bleeker, 1852;Amphiprion melanopus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920828347;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920828256;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920828215;Amphiprion percula (Lacepède, 1802);Amphiprion percula;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920827902;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920827830;Amphiprion percula (Lacepède, 1802);Amphiprion percula;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920810104;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920810069;Amphiprion melanopus Bleeker, 1852;Amphiprion melanopus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920809984;Amphiprion melanopus Bleeker, 1852;Amphiprion melanopus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1920809495;Amphiprion bicinctus Rüppell, 1828-1830;Amphiprion bicinctus;HumanObservation;;iNaturalist research-grade observations;vmoser;http://creativecommons.org/licenses/by-nc/4.0/
1920808370;Amphiprion bicinctus Rüppell, 1828-1830;Amphiprion bicinctus;HumanObservation;;iNaturalist research-grade observations;vmoser;http://creativecommons.org/licenses/by-nc/4.0/
1920802616;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;David Renoult;http://creativecommons.org/licenses/by-nc/4.0/
1920799270;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;David Renoult;http://creativecommons.org/licenses/by-nc/4.0/
1914367506;Amphiprion polymnus (Linnaeus, 1758);Amphiprion polymnus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1914334452;Amphiprion sandaracinos Allen, 1972;Amphiprion sandaracinos;HumanObservation;;iNaturalist research-grade observations;Adelma Hills;http://creativecommons.org/licenses/by-nc/4.0/
1914330921;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;J.D. Willson;http://creativecommons.org/licenses/by-nc/4.0/
1914326420;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;eli168;http://creativecommons.org/licenses/by-nc/4.0/
